year,player,games_played,mpg,true_shot,per,value_added,wins_added
2024,DeAndre Jordan,56,12.3,0.621,15.42,49.7,1.7
2024,OG Anunoby,74,36.6,0.591,15.41,0,0
2024,Jared McCain,23,25.7,0.589,15.27,39.5,1.3
2024,Bradley Beal,53,32.1,0.598,15.25,0,0
2024,Jusuf Nurkic,51,20.8,0.555,15.24,73.6,2.5
2024,Caris LeVert,64,24.9,0.582,15.2,0,0
2024,Naji Marshall,69,27.8,0.584,15.18,0,0
2024,Jalen Green,82,32.9,0.544,15.15,0,0
2024,Kyle Anderson,61,16.4,0.538,15.1,0,0
2024,Malik Monk,65,31.6,0.549,15.01,0,0
2024,Jabari Walker,60,12.5,0.601,14.98,46.8,1.6
2024,Kyle Filipowski,72,21.1,0.594,14.96,94.4,3.1
2024,Anfernee Simons,70,32.7,0.557,14.91,0,0
2024,Harrison Barnes,82,27.2,0.656,14.9,0,0
2024,Kelly Olynyk,44,20.3,0.609,14.89,0,0
2024,Mason Plumlee,74,17.6,0.645,14.81,81.7,2.7
2024,Brook Lopez,80,31.8,0.624,14.8,159.5,5.3
2024,Jaden Ivey,30,29.9,0.569,14.77,0,0
2024,Chris Paul,82,28,0.58,14.74,0,0
2024,Guerschon Yabusele,70,27.1,0.616,14.71,110.6,3.7
2024,Aaron Nesmith,45,24.9,0.653,14.65,0,0
2024,Isaiah Stewart,72,19.9,0.616,14.62,86,2.9
2024,Shaedon Sharpe,72,31.3,0.551,14.61,0,0
2024,Jordan Clarkson,37,26,0.54,14.6,0,0
2024,Tyus Jones,81,26.8,0.585,14.58,0,0
2024,Paul George,41,32.5,0.543,14.53,0,0
2024,Brandin Podziemski,64,26.8,0.557,14.47,94,3.1
2024,Mouhamed Gueye,33,16.2,0.52,14.46,29.1,1
2024,Malik Beasley,82,27.8,0.59,14.44,0,0
2024,Jalen Suggs,35,28.6,0.536,14.42,0,0
2024,Jaime Jaquez Jr.,66,20.7,0.543,14.38,73.1,2.4
2024,Russell Westbrook,75,27.9,0.532,14.37,0,0
2024,Quinten Post,42,16.3,0.595,14.31,38,1.3
2024,Cole Anthony,67,18.4,0.531,14.26,0,0
2024,Devin Vassell,64,31,0.553,14.23,0,0
2024,Donte DiVincenzo,62,25.9,0.582,14.15,0,0
2024,Mikal Bridges,82,37,0.585,14.09,0,0
2024,Marcus Sasser,57,14.2,0.589,14.05,39.3,1.3
2024,D'Angelo Russell,58,25.5,0.522,14.05,0,0
2024,Brandon Miller,27,34.2,0.54,14.05,44.8,1.5
2024,P.J. Washington,57,32.2,0.556,14.04,0,0
2024,Ryan Rollins,56,14.6,0.6,14,39.1,1.3
2024,Isaiah Joe,74,21.7,0.617,13.99,0,0
2024,Tobias Harris,73,31.6,0.571,13.93,0,0
2024,Talen Horton-Tucker,58,12.5,0.567,13.84,0,0
2024,Cameron Payne,72,15.1,0.532,13.82,0,0
2024,Nikola Jovic,46,25.1,0.595,13.81,0,0
2024,Stephon Castle,81,26.7,0.522,13.76,95.4,3.2
2024,Kenrich Williams,69,16.4,0.587,13.74,0,0
2024,Grayson Allen,64,24.1,0.631,13.71,0,0
2024,Wendell Carter Jr.,68,25.9,0.544,13.7,81.4,2.7
2024,Precious Achiuwa,57,20.5,0.53,13.66,0,0
2024,Bennedict Mathurin,72,29.8,0.579,13.66,0,0
2024,Rui Hachimura,59,31.7,0.619,13.61,0,0
2024,Luke Kennard,65,22.6,0.631,13.59,0,0
2024,Derrick Jones Jr.,77,24.3,0.609,13.57,0,0
2024,Kelly Oubre Jr.,60,34.6,0.551,13.53,0,0
2024,Jrue Holiday,62,30.6,0.565,13.53,0,0
2024,Keon Ellis,80,24.4,0.664,13.49,78.1,2.6
2024,Brice Sensabaugh,71,20.2,0.612,13.46,56.9,1.9
2024,Jose Alvarado,56,24.4,0.523,13.4,0,0
2024,Mike Conley,71,24.7,0.573,13.31,0,0
2024,Jaden McDaniels,82,31.9,0.562,13.29,0,0
2024,Jarred Vanderbilt,36,16.1,0.537,13.21,0,0
2024,Craig Porter Jr.,51,10.1,0.61,13.16,18.1,0.6
2024,Monte Morris,45,12.7,0.546,13.14,0,0
2024,Spencer Dinwiddie,79,27,0.553,13.06,0,0
2024,Trendon Watford,44,20.8,0.557,13.05,0,0
2024,Alex Sarr,67,27.1,0.482,12.99,0,0
2024,Keyonte George,67,31.5,0.539,12.95,67.7,2.3
2024,Al Horford,60,27.7,0.563,12.95,58.2,1.9
2024,Klay Thompson,72,27.3,0.552,12.95,0,0
2024,Dalano Banton,67,16.7,0.497,12.94,0,0
2024,Orlando Robinson,44,17.5,0.519,12.92,26.7,0.9
2024,Jeremiah Robinson-Earl,66,18.8,0.563,12.91,0,0
2024,Sam Hauser,71,21.7,0.632,12.88,0,0
2024,Dwight Powell,55,10,0.713,12.86,17,0.6
2024,Fred VanVleet,60,35.2,0.515,12.83,0,0
2024,Alec Burks,49,17.6,0.608,12.82,0,0
2024,Ayo Dosunmu,46,30.3,0.585,12.8,0,0
2024,Dalton Knecht,78,19.2,0.594,12.79,44.4,1.5
2024,Brandon Boston,42,23.6,0.535,12.76,0,0
2024,Dennis Schroder,75,28.1,0.531,12.76,0,0
2024,Vit Krejci,57,20.2,0.661,12.69,0,0
2024,Royce O'Neale,75,24.5,0.585,12.67,0,0
2024,Jabari Smith Jr.,57,30.1,0.562,12.65,0,0
